"","Var1","Freq","ldia","udia","di","numberprob","numberprob_cum","massprob","massprob_cum","Freq_cum"
"1","19.9,27.9",1842,19.9,27.9,23.9,0.368547418967587,0.368547418967587,0.0681104819470162,0.0681104819470162,1842
"2","27.9,35.9",1257,27.9,35.9,31.9,0.251500600240096,0.620048019207683,0.110519255707512,0.178629737654528,3099
"3","35.9,43.9",746,35.9,43.9,39.9,0.149259703881553,0.769307723089236,0.128347714387199,0.306977452041727,3845
"4","43.9,51.9",382,43.9,51.9,47.9,0.0764305722288916,0.845738295318127,0.113710489162225,0.420687941203952,4227
"5","51.9,59.9",315,51.9,59.9,55.9,0.0630252100840336,0.908763505402161,0.149030995368475,0.569718936572427,4542
"6","59.9,67.9",278,59.9,67.9,63.9,0.0556222488995598,0.964385754301721,0.196461744023349,0.766180680595776,4820
"7","67.9,75.9",93,67.9,75.9,71.9,0.0186074429771909,0.982993197278912,0.0936268138247177,0.859807494420494,4913
"8","75.9,83.9",51,75.9,83.9,79.9,0.0102040816326531,0.993197278911565,0.070459756613127,0.930267251033621,4964
"9","83.9,91.9",21,83.9,91.9,87.9,0.00420168067226891,0.997398959583834,0.0386292738682385,0.96889652490186,4985
"10","91.9,100",13,91.9,100,95.95,0.00260104041616647,1,0.0311034750981405,1,4998
